Date,Sunrise,Sunset
2/16/2004,6:45:00 AM,5:55:00 PM
2/17/2004,6:45:00 AM,5:55:00 PM
2/18/2004,6:45:00 AM,5:55:00 PM
2/19/2004,6:45:00 AM,5:55:00 PM
2/20/2004,6:45:00 AM,5:55:00 PM
2/21/2004,6:45:00 AM,5:55:00 PM
2/22/2004,6:45:00 AM,5:55:00 PM
2/23/2004,6:45:00 AM,5:55:00 PM
2/24/2004,6:45:00 AM,5:55:00 PM
2/25/2004,6:45:00 AM,5:55:00 PM
2/26/2004,6:45:00 AM,5:55:00 PM
2/27/2004,6:45:00 AM,5:55:00 PM
2/28/2004,6:45:00 AM,5:55:00 PM
2/29/2004,6:45:00 AM,5:55:00 PM
3/1/2004,6:25:00 AM,6:10:00 PM
3/2/2004,6:25:00 AM,6:10:00 PM
3/3/2004,6:25:00 AM,6:10:00 PM
3/4/2004,6:25:00 AM,6:10:00 PM
3/5/2004,6:25:00 AM,6:10:00 PM
3/6/2004,6:25:00 AM,6:10:00 PM
3/7/2004,6:25:00 AM,6:10:00 PM
3/8/2004,6:25:00 AM,6:10:00 PM
3/9/2004,6:25:00 AM,6:10:00 PM
3/10/2004,6:25:00 AM,6:10:00 PM
3/11/2004,6:25:00 AM,6:10:00 PM
3/12/2004,6:25:00 AM,6:10:00 PM
3/13/2004,6:25:00 AM,6:10:00 PM
3/14/2004,6:25:00 AM,6:10:00 PM
3/15/2004,6:25:00 AM,6:10:00 PM
3/16/2004,6:05:00 AM,6:20:00 PM
3/17/2004,6:05:00 AM,6:20:00 PM
3/18/2004,6:05:00 AM,6:20:00 PM
3/19/2004,6:05:00 AM,6:20:00 PM
3/20/2004,6:05:00 AM,6:20:00 PM
3/21/2004,6:05:00 AM,6:20:00 PM
3/22/2004,6:05:00 AM,6:20:00 PM
3/23/2004,6:05:00 AM,6:20:00 PM
3/24/2004,6:05:00 AM,6:20:00 PM
3/25/2004,6:05:00 AM,6:20:00 PM
3/26/2004,6:05:00 AM,6:20:00 PM
3/27/2004,6:05:00 AM,6:20:00 PM
3/28/2004,6:05:00 AM,6:20:00 PM
3/29/2004,6:05:00 AM,6:20:00 PM
3/30/2004,6:05:00 AM,6:20:00 PM
3/31/2004,6:05:00 AM,6:20:00 PM
4/1/2004,5:45:00 AM,6:35:00 PM
4/2/2004,5:45:00 AM,6:35:00 PM
4/3/2004,5:45:00 AM,6:35:00 PM
4/4/2004,5:45:00 AM,6:35:00 PM
4/5/2004,5:45:00 AM,6:35:00 PM
4/6/2004,5:45:00 AM,6:35:00 PM
4/7/2004,5:45:00 AM,6:35:00 PM
4/8/2004,5:45:00 AM,6:35:00 PM
4/9/2004,5:45:00 AM,6:35:00 PM
4/10/2004,5:45:00 AM,6:35:00 PM
4/11/2004,5:45:00 AM,6:35:00 PM
4/12/2004,5:45:00 AM,6:35:00 PM
4/13/2004,5:45:00 AM,6:35:00 PM
4/14/2004,5:45:00 AM,6:35:00 PM
4/15/2004,5:45:00 AM,6:35:00 PM
4/16/2004,5:25:00 AM,6:45:00 PM
4/17/2004,5:25:00 AM,6:45:00 PM
4/18/2004,5:25:00 AM,6:45:00 PM
4/19/2004,5:25:00 AM,6:45:00 PM
4/20/2004,5:25:00 AM,6:45:00 PM
4/21/2004,5:25:00 AM,6:45:00 PM
4/22/2004,5:25:00 AM,6:45:00 PM
4/23/2004,5:25:00 AM,6:45:00 PM
4/24/2004,5:25:00 AM,6:45:00 PM
4/25/2004,5:25:00 AM,6:45:00 PM
4/26/2004,5:25:00 AM,6:45:00 PM
4/27/2004,5:25:00 AM,6:45:00 PM
4/28/2004,5:25:00 AM,6:45:00 PM
4/29/2004,5:25:00 AM,6:45:00 PM
4/30/2004,5:25:00 AM,6:45:00 PM
5/1/2004,5:05:00 AM,6:55:00 PM
5/2/2004,5:05:00 AM,6:55:00 PM
5/3/2004,5:05:00 AM,6:55:00 PM
5/4/2004,5:05:00 AM,6:55:00 PM
5/5/2004,5:05:00 AM,6:55:00 PM
5/6/2004,5:05:00 AM,6:55:00 PM
5/7/2004,5:05:00 AM,6:55:00 PM
5/8/2004,5:05:00 AM,6:55:00 PM
5/9/2004,5:05:00 AM,6:55:00 PM
5/10/2004,5:05:00 AM,6:55:00 PM
5/11/2004,5:05:00 AM,6:55:00 PM
5/12/2004,5:05:00 AM,6:55:00 PM
5/13/2004,5:05:00 AM,6:55:00 PM
5/14/2004,5:05:00 AM,6:55:00 PM
5/15/2004,5:05:00 AM,6:55:00 PM
2/16/2005,6:45:00 AM,5:55:00 PM
2/17/2005,6:45:00 AM,5:55:00 PM
2/18/2005,6:45:00 AM,5:55:00 PM
2/19/2005,6:45:00 AM,5:55:00 PM
2/20/2005,6:45:00 AM,5:55:00 PM
2/21/2005,6:45:00 AM,5:55:00 PM
2/22/2005,6:45:00 AM,5:55:00 PM
2/23/2005,6:45:00 AM,5:55:00 PM
2/24/2005,6:45:00 AM,5:55:00 PM
2/25/2005,6:45:00 AM,5:55:00 PM
2/26/2005,6:45:00 AM,5:55:00 PM
2/27/2005,6:45:00 AM,5:55:00 PM
2/28/2005,6:45:00 AM,5:55:00 PM
3/1/2005,6:25:00 AM,6:10:00 PM
3/2/2005,6:25:00 AM,6:10:00 PM
3/3/2005,6:25:00 AM,6:10:00 PM
3/4/2005,6:25:00 AM,6:10:00 PM
3/5/2005,6:25:00 AM,6:10:00 PM
3/6/2005,6:25:00 AM,6:10:00 PM
3/7/2005,6:25:00 AM,6:10:00 PM
3/8/2005,6:25:00 AM,6:10:00 PM
3/9/2005,6:25:00 AM,6:10:00 PM
3/10/2005,6:25:00 AM,6:10:00 PM
3/11/2005,6:25:00 AM,6:10:00 PM
3/12/2005,6:25:00 AM,6:10:00 PM
3/13/2005,6:25:00 AM,6:10:00 PM
3/14/2005,6:25:00 AM,6:10:00 PM
3/15/2005,6:25:00 AM,6:10:00 PM
3/16/2005,6:05:00 AM,6:20:00 PM
3/17/2005,6:05:00 AM,6:20:00 PM
3/18/2005,6:05:00 AM,6:20:00 PM
3/19/2005,6:05:00 AM,6:20:00 PM
3/20/2005,6:05:00 AM,6:20:00 PM
