Date,Cum_PPT_in,Act_PPT_in,Temp_c,Wind_degree,Wind_mph,Lunar
2/21/2004,1.18,0,2.4,112,5.4,0.02
2/22/2004,1.18,0,3.7,178,5.3,0.07
2/23/2004,1.18,0,6.1,238,6.1,0.13
2/24/2004,1.25,0.07,3.3,41,6.3,0.2
2/25/2004,1.25,0,-1.3,14,3.5,0.28
2/26/2004,1.78,0.53,0.2,297,8.1,0.37
2/27/2004,1.78,0,5.2,242,8.4,0.5
2/28/2004,1.78,0,9.6,221,8.4,0.56
2/29/2004,1.81,0.03,2.3,262,8.1,0.65
3/1/2004,1.82,0.01,0.2,273,14.8,0.74
3/2/2004,1.82,0,2.8,272,11.1,0.82
3/3/2004,1.82,0,0.6,44,5.3,0.89
3/4/2004,1.82,0,2.1,68,4.3,0.95
3/5/2004,1.89,0.07,3,263,11.3,0.98
3/6/2004,1.9,0.01,1.9,276,14.5,1
3/7/2004,1.9,0,6.7,276,13.3,0.99
3/8/2004,1.9,0,5.1,175,6,0.96
3/9/2004,1.9,0,9.6,303,7.2,0.9
3/10/2004,1.9,0,9,128,8.2,0.83
3/11/2004,1.9,0,13,257,10.4,0.73
3/12/2004,1.92,0.02,2.1,110,8.3,0.62
3/13/2004,1.98,0.06,2,146,5,0.5
3/14/2004,1.98,0,9.1,279,9,0.4
3/15/2004,1.98,0,7.4,109,9.1,0.29
3/16/2004,1.98,0,11.4,263,10.1,0.19
3/17/2004,1.98,0,10.2,290,8.9,0.11
3/18/2004,1.98,0,12.7,291,10.5,0.05
3/21/2004,1.98,0,14.1,49,8.8,0.01
3/22/2004,1.98,0,7.7,127,6.8,0.04
3/23/2004,1.98,0,12.1,191,6.7,0.08
3/24/2004,1.98,0,14.5,265,9.9,0.14
3/25/2004,1.98,0,16,286,11.8,0.22
3/26/2004,1.98,0,17.1,253,9.4,0.3
3/27/2004,1.98,0,16.6,236,10.5,0.39
3/28/2004,1.98,0,12.7,282,14.7,0.5
3/29/2004,1.98,0,8.5,311,9.9,0.58
3/30/2004,1.98,0,8.4,265,4.7,0.67
3/31/2004,1.98,0,11.1,259,6,0.76
4/1/2004,1.98,0,14.9,236,7.4,0.84
4/2/2004,1.99,0.01,13.6,259,7.8,0.91
4/3/2004,2.72,0.73,9.2,133,6.7,0.96
4/4/2004,5.22,2.5,5.9,87,11.7,0.99
4/5/2004,5.6,0.38,1.5,87,7.8,1
4/6/2004,5.62,0.02,4.9,239,3.6,0.98
4/7/2004,5.62,0,7.5,302,8,0.93
4/8/2004,5.62,0,11,302,5.8,0.86
4/9/2004,6.1,0.48,8,221,6.9,0.76
4/10/2004,6.13,0.03,10.1,286,10.2,0.66
4/11/2004,6.13,0,1.1,87,8.5,0.5
4/12/2004,6.31,0.18,-1.4,102,6.9,0.43
4/13/2004,6.31,0,2.5,186,6.4,0.33
4/14/2004,6.31,0,7.2,178,4.2,0.23
4/15/2004,6.31,0,13.9,233,13.7,0.15
4/16/2004,6.31,0,16.1,260,11.6,0.08
4/17/2004,6.31,0,16.2,254,10.5,0.03
2/19/2005,4.28,0.05,4.2,162,4.3,0.83
2/20/2005,4.29,0.01,9.2,249,10.1,0.9
2/21/2005,4.29,0,6.6,263,11.8,0.95
2/22/2005,4.29,0,7.4,273,7.3,0.98
2/23/2005,4.29,0,7.5,252,5.4,1
2/24/2005,4.43,0.14,4.6,151,5.7,1
2/25/2005,4.44,0.01,-1.8,82,4.5,0.98
2/26/2005,4.7,0.26,0.1,137,3.4,0.94
2/27/2005,4.7,0,2.6,271,5.7,0.88
2/28/2005,4.7,0,2.3,300,8,0.8
3/1/2005,4.7,0,4.9,280,8.7,0.71
3/2/2005,4.7,0,5.2,282,7,0.6
3/3/2005,4.7,0,5.4,300,7,0.5
3/4/2005,4.7,0,5.9,278,8.3,0.38
3/5/2005,4.7,0,6.3,319,6,0.27
3/6/2005,4.75,0.05,5,143,4.8,0.17
3/7/2005,4.94,0.19,5.2,263,6.5,0.09
3/8/2005,4.94,0,7.2,262,7,0.04
3/9/2005,4.94,0,7.9,311,8.9,0.01
3/10/2005,4.94,0,7.3,281,6.5,0
3/11/2005,4.94,0,10,187,7.4,0.03
3/12/2005,4.94,0,7.9,235,7,0.07
3/13/2005,4.94,0,13.7,280,12.5,0.14
3/14/2005,5.06,0.12,6.2,119,10.1,0.22
3/15/2005,5.08,0.02,-0.5,119,11.8,0.31
3/16/2005,5.08,0,-5.5,28,10.5,0.4
3/17/2005,5.14,0.06,-3.9,295,7.5,0.5
3/18/2005,5.14,0,5.1,266,12.2,0.59
3/19/2005,5.14,0,7.4,283,11.2,0.68
3/20/2005,5.14,0,6.8,256,7,0.77
3/21/2005,5.17,0.03,7.2,262,11.7,0.84
3/22/2005,5.17,0,5.4,299,16,0.91
3/23/2005,5.17,0,7,290,7.9,0.96
3/24/2005,5.17,0,10.4,238,11.5,0.99
3/25/2005,5.19,0.02,7,284,10.7,1
