ID,Cow_ID,FixDate,FixTime,Northing,Easting
0,4535_19AN,2018-11-19,12:58:45,3625108.6,539907.69
1,4535_19AN,2018-11-19,13:00:35,3625109.3,539908.08
2,4535_19AN,2018-11-19,13:10:32,3625113.3,539903.28
3,4535_19AN,2018-11-19,13:20:33,3625109,539909.8
4,4535_19AN,2018-11-19,13:30:27,3625106,539909.32
5,4535_19AN,2018-11-19,13:40:35,3625109.4,539903.73
6,4535_19AN,2018-11-19,13:50:37,3625100.8,539902.1
7,4535_19AN,2018-11-19,14:00:36,3625117,539900.89
8,4535_19AN,2018-11-19,14:10:35,3625117.3,539901.65
9,4535_19AN,2018-11-19,14:20:48,3625111,539911.72
10,4535_19AN,2018-11-19,14:30:39,3625133.8,539965.88
11,4535_19AN,2018-11-19,14:40:33,3625171.4,539974.98
12,4535_19AN,2018-11-19,14:50:49,3625157.8,539961.17
13,4535_19AN,2018-11-19,15:00:36,3625186.8,539975.55
14,4535_19AN,2018-11-19,15:10:45,3625167.9,539963.78
15,4535_19AN,2018-11-19,15:20:29,3625178.8,539972.33
16,4535_19AN,2018-11-19,15:30:43,3625176,539975.36
17,4535_19AN,2018-11-19,15:40:31,3625184.1,539977.4
18,4535_19AN,2018-11-19,15:50:37,3625184.7,539969.86
19,4535_19AN,2018-11-19,16:00:36,3625451.3,539953.1
20,4535_19AN,2018-11-19,16:10:44,3625657.9,540205.56
21,4535_19AN,2018-11-19,16:20:34,3626061.4,540201.61
22,4535_19AN,2018-11-19,16:30:26,3626309.4,540413.75
23,4535_19AN,2018-11-19,16:40:34,3626521,540509.01
24,4535_19AN,2018-11-19,16:50:42,3626506.5,540454.75
25,4535_19AN,2018-11-19,17:00:49,3626494.1,540341.64
26,4535_19AN,2018-11-19,17:10:37,3626743.7,540009.17
27,4535_19AN,2018-11-19,17:20:39,3626896.2,540065.53
28,4535_19AN,2018-11-19,17:30:35,3626822.2,540122.98
29,4535_19AN,2018-11-19,17:40:48,3626836,540143.25
30,4535_19AN,2018-11-19,17:50:56,3626843.8,540176.84
31,4535_19AN,2018-11-19,18:00:37,3626830,540182.42
32,4535_19AN,2018-11-19,18:11:09,3626808.6,540139.38
33,4535_19AN,2018-11-19,18:20:36,3626793.7,540086.47
34,4535_19AN,2018-11-19,18:30:43,3626789.5,540069.5
35,4535_19AN,2018-11-19,18:40:43,3626791.5,540070.87
36,4535_19AN,2018-11-19,18:50:36,3626780.9,540003.1
37,4535_19AN,2018-11-19,19:00:49,3626763.4,539980.32
38,4535_19AN,2018-11-19,19:10:35,3626757.5,539948.68
39,4535_19AN,2018-11-19,19:20:36,3626755.1,539938.19
40,4535_19AN,2018-11-19,19:30:36,3626742.3,539910.69
41,4535_19AN,2018-11-19,19:40:39,3626552.2,539698.18
42,4535_19AN,2018-11-19,19:50:36,3626514.1,539976.75
43,4535_19AN,2018-11-19,20:00:36,3626521.1,540486.83
44,4535_19AN,2018-11-19,20:10:27,3626513.1,540511.36
45,4535_19AN,2018-11-19,20:20:36,3626524.6,540501.84
46,4535_19AN,2018-11-19,20:30:33,3626490.8,540480.39
47,4535_19AN,2018-11-19,20:40:35,3626479.5,540457.6
48,4535_19AN,2018-11-19,20:50:49,3626471.9,540440.12
49,4535_19AN,2018-11-19,21:00:35,3626468.9,540434.7
50,4535_19AN,2018-11-19,21:10:49,3626464.9,540409.4
51,4535_19AN,2018-11-19,21:20:30,3626459.7,540405.18
52,4535_19AN,2018-11-19,21:30:42,3626459.7,540384.79
53,4535_19AN,2018-11-19,21:40:36,3626457.8,540377.22
54,4535_19AN,2018-11-19,21:50:41,3626447.5,540353.51
55,4535_19AN,2018-11-19,22:00:36,3626465,540353.34
56,4535_19AN,2018-11-19,22:10:39,3626471.6,540354.56
57,4535_19AN,2018-11-19,22:20:36,3626466.6,540355.04
58,4535_19AN,2018-11-19,22:30:35,3626455.9,540351.34
59,4535_19AN,2018-11-19,22:40:34,3626470.2,540371.74
60,4535_19AN,2018-11-19,22:50:38,3626472.8,540384.11
61,4535_19AN,2018-11-19,23:00:54,3626472.7,540384.42
62,4535_19AN,2018-11-19,23:10:46,3626490.9,540384.24
63,4535_19AN,2018-11-19,23:21:12,3626499.3,540353.72
64,4535_19AN,2018-11-19,23:30:40,3626496.8,540367.23
65,4535_19AN,2018-11-19,23:40:36,3626496,540348.69
66,4535_19AN,2018-11-19,23:50:32,3626488.9,540374.62
67,4535_19AN,2018-11-20,0:00:32,3626492.9,540371.33
68,4535_19AN,2018-11-20,0:10:36,3626496.1,540361.04
69,4535_19AN,2018-11-20,0:20:30,3626498.5,540373.93
70,4535_19AN,2018-11-20,0:30:34,3626505.5,540376.61
71,4535_19AN,2018-11-20,0:40:48,3626483.5,540367.91
72,4535_19AN,2018-11-20,0:50:31,3626482.9,540356.34
73,4535_19AN,2018-11-20,1:00:48,3626480.9,540316.46
74,4535_19AN,2018-11-20,1:10:37,3626477.6,540330.21
75,4535_19AN,2018-11-20,1:20:37,3626470,540337.13
76,4535_19AN,2018-11-20,1:30:37,3626458.3,540334.79
77,4535_19AN,2018-11-20,1:40:36,3626446.6,540354.45
78,4535_19AN,2018-11-20,1:50:35,3626472.5,540353.98
79,4535_19AN,2018-11-20,2:00:36,3626470.3,540365.99
80,4535_19AN,2018-11-20,2:10:36,3626481.3,540377.75
81,4535_19AN,2018-11-20,2:20:48,3626486.7,540369.82
82,4535_19AN,2018-11-20,2:30:45,3626504.8,540369.87
83,4535_19AN,2018-11-20,2:40:36,3626516.6,540363.09
84,4535_19AN,2018-11-20,2:50:48,3626516.9,540354.74
85,4535_19AN,2018-11-20,3:00:37,3626522,540345.32
86,4535_19AN,2018-11-20,3:10:48,3626543.4,540371.25
87,4535_19AN,2018-11-20,3:20:42,3626540.3,540371.4
88,4535_19AN,2018-11-20,3:30:36,3626523.9,540391.49
89,4535_19AN,2018-11-20,3:40:36,3626523.6,540394.41
90,4535_19AN,2018-11-20,3:50:35,3626515.8,540395.98
91,4535_19AN,2018-11-20,4:00:47,3626512.5,540395.21
92,4535_19AN,2018-11-20,4:10:36,3626521.1,540393.17
93,4535_19AN,2018-11-20,4:20:37,3626521.4,540391.95
94,4535_19AN,2018-11-20,4:30:42,3626527.5,540385.34
95,4535_19AN,2018-11-20,4:40:28,3626516.9,540362.9
96,4535_19AN,2018-11-20,4:50:39,3626529.9,540382.94
97,4535_19AN,2018-11-20,5:00:36,3626510.1,540394.62
98,4535_19AN,2018-11-20,5:10:32,3626522.1,540401.1
99,4535_19AN,2018-11-20,5:20:48,3626524.5,540391.42
100,4535_19AN,2018-11-20,5:30:47,3626520.7,540401.05
101,4535_19AN,2018-11-20,5:40:48,3626515.2,540393.58
102,4535_19AN,2018-11-20,5:50:42,3626524.7,540393.31
103,4535_19AN,2018-11-20,6:00:29,3626518,540396.67
104,4535_19AN,2018-11-20,6:10:32,3626525,540391.31
105,4535_19AN,2018-11-20,6:20:42,3626519.9,540400.1
106,4535_19AN,2018-11-20,6:31:05,3626529.4,540384.65
107,4535_19AN,2018-11-20,6:40:42,3626500.3,540382.98
108,4535_19AN,2018-11-20,6:50:38,3626526.6,540396.19
109,4535_19AN,2018-11-20,7:00:37,3626521.1,540385.49
110,4535_19AN,2018-11-20,7:11:22,3626514.1,540391.93
111,4535_19AN,2018-11-20,7:21:04,3626513.7,540402.6
112,4535_19AN,2018-11-20,7:31:10,3626517.8,540393.06
113,4535_19AN,2018-11-20,7:40:58,3626515.8,540392.33
114,4535_19AN,2018-11-20,7:50:40,3626526.1,540390.84
115,4535_19AN,2018-11-20,8:00:38,3626530.3,540386.94
116,4535_19AN,2018-11-20,8:10:35,3626523.4,540391.03
117,4535_19AN,2018-11-20,8:20:57,3626513.2,540395.39
118,4535_19AN,2018-11-20,8:30:36,3626530,540392.82
119,4535_19AN,2018-11-20,8:40:37,3626499.8,540392.32
120,4535_19AN,2018-11-20,8:50:45,3626525.8,540387.35
121,4535_19AN,2018-11-20,9:00:39,3626528.6,540388.2
122,4535_19AN,2018-11-20,9:10:28,3626532.4,540379.91
123,4535_19AN,2018-11-20,9:20:40,3626530.1,540342.93
124,4535_19AN,2018-11-20,9:30:29,3626500.6,540320.94
125,4535_19AN,2018-11-20,9:41:09,3626482,540308.05
126,4535_19AN,2018-11-20,9:50:56,3626477.5,540265.95
127,4535_19AN,2018-11-20,10:00:37,3626483.2,540190.83
128,4535_19AN,2018-11-20,10:10:36,3626504.5,540156.43
129,4535_19AN,2018-11-20,10:20:35,3626528.4,540135.02
130,4535_19AN,2018-11-20,10:30:35,3626612.1,539993.03
131,4535_19AN,2018-11-20,10:40:43,3626703.8,539971.17
132,4535_19AN,2018-11-20,10:50:47,3626773,540016.81
133,4535_19AN,2018-11-20,11:00:36,3626806.3,540060.72
134,4535_19AN,2018-11-20,11:10:36,3626830.1,540130.67
135,4535_19AN,2018-11-20,11:20:32,3626848.8,540170.12
136,4535_19AN,2018-11-20,11:30:49,3626850.1,540171.15
137,4535_19AN,2018-11-20,11:40:35,3626848.6,540168.79
138,4535_19AN,2018-11-20,11:50:58,3626860.2,540169.47
139,4535_19AN,2018-11-20,12:00:40,3626853.7,540173.76
140,4535_19AN,2018-11-20,12:10:45,3626860.7,540171.29
141,4535_19AN,2018-11-20,12:20:49,3626868.7,540171.59
142,4535_19AN,2018-11-20,12:30:37,3626862.4,540167.96
143,4535_19AN,2018-11-20,12:40:42,3626854.6,540178.1
144,4535_19AN,2018-11-20,12:50:33,3626983,540163.4
145,4535_19AN,2018-11-20,13:00:36,3626961.5,540189.8
146,4535_19AN,2018-11-20,13:10:42,3626955.9,540190.73
147,4535_19AN,2018-11-20,13:20:44,3626952.3,540203.8
148,4535_19AN,2018-11-20,13:30:41,3627103.3,540236.46
149,4535_19AN,2018-11-20,13:40:49,3627132.9,540232.02
150,4535_19AN,2018-11-20,13:50:35,3627144.2,540213.74
151,4535_19AN,2018-11-20,14:00:33,3627150.5,540205.08
152,4535_19AN,2018-11-20,14:10:46,3627117.1,540228.6
153,4535_19AN,2018-11-20,14:20:36,3627098.7,540200.76
154,4535_19AN,2018-11-20,14:30:45,3627080.4,540210.96
155,4535_19AN,2018-11-20,14:40:26,3627008.9,540186.84
156,4535_19AN,2018-11-20,14:50:51,3627023.7,540072.95
157,4535_19AN,2018-11-20,15:00:43,3626975,540126.47
158,4535_19AN,2018-11-20,15:10:48,3626978.7,540131.06
159,4535_19AN,2018-11-20,15:20:32,3626976.7,540127.22
160,4535_19AN,2018-11-20,15:30:39,3626986.9,540128.43
161,4535_19AN,2018-11-20,15:40:36,3626984.3,540131.59
162,4535_19AN,2018-11-20,15:50:34,3626972.4,540123.57
163,4535_19AN,2018-11-20,16:00:36,3626971.5,540124.95
164,4535_19AN,2018-11-20,16:10:33,3626974.1,540129
165,4535_19AN,2018-11-20,16:20:28,3626966.4,540131.61
166,4535_19AN,2018-11-20,16:30:26,3626987.6,540122.83
167,4535_19AN,2018-11-20,16:40:39,3626973.1,540127.89
168,4535_19AN,2018-11-20,16:50:36,3626979.6,540128.36
169,4535_19AN,2018-11-20,17:00:40,3626971.8,540126.41
170,4535_19AN,2018-11-20,17:10:31,3626623.8,540092.93
171,4535_19AN,2018-11-20,17:20:38,3626616.5,540095.17
172,4535_19AN,2018-11-20,17:30:36,3626617.4,540090.78
173,4535_19AN,2018-11-20,17:40:49,3626627.4,540083.76
174,4535_19AN,2018-11-20,17:50:37,3626642.2,540090.15
175,4535_19AN,2018-11-20,18:00:37,3626623.9,540091.76
176,4535_19AN,2018-11-20,18:10:36,3626622.2,540087.4
177,4535_19AN,2018-11-20,18:20:42,3626577.5,540131.86
178,4535_19AN,2018-11-20,18:30:58,3626530.7,540185.37
179,4535_19AN,2018-11-20,18:40:52,3626632.6,540108.51
180,4535_19AN,2018-11-20,18:50:36,3626996.1,540206.82
181,4535_19AN,2018-11-20,19:00:37,3627134.9,540330.21
182,4535_19AN,2018-11-20,19:10:32,3627129.6,540320.46
183,4535_19AN,2018-11-20,19:20:48,3627139.6,540316.98
184,4535_19AN,2018-11-20,19:30:33,3627129.8,540320.61
185,4535_19AN,2018-11-20,19:40:36,3627140.5,540336.15
186,4535_19AN,2018-11-20,19:50:55,3627141.8,540340.05
187,4535_19AN,2018-11-20,20:00:40,3627139.2,540347.26
188,4535_19AN,2018-11-20,20:10:37,3627124.6,540342.17
189,4535_19AN,2018-11-20,20:20:47,3627114,540272.89
