Pixel,Northing,Easting
1,3627207.378,542027.2045
2,3625437.378,538997.2045
3,3626457.378,543617.2045
4,3625827.378,540707.2045
5,3629877.378,544757.2045
6,3626037.378,538547.2045
7,3630177.378,544487.2045
8,3627147.378,544877.2045
9,3625887.378,543557.2045
10,3626967.378,539717.2045
11,3626127.378,540407.2045
12,3625587.378,538157.2045
13,3626637.378,547907.2045
14,3626067.378,540767.2045
15,3625797.378,539867.2045
16,3626997.378,543737.2045
17,3623067.378,540827.2045
18,3625917.378,544367.2045
19,3627117.378,547277.2045
20,3628257.378,541487.2045
21,3626457.378,542927.2045
22,3629517.378,545837.2045
23,3626757.378,537797.2045
24,3629007.378,541877.2045
25,3625797.378,544217.2045
26,3629037.378,544607.2045
27,3626067.378,541847.2045
28,3629607.378,544277.2045
29,3627747.378,539417.2045
30,3626727.378,547157.2045
31,3628017.378,542447.2045
32,3625977.378,541847.2045
33,3626097.378,544577.2045
34,3626547.378,538397.2045
35,3625677.378,542327.2045
36,3627567.378,547097.2045
37,3629907.378,540977.2045
38,3628797.378,546917.2045
39,3625917.378,546827.2045
40,3625407.378,542057.2045
41,3629337.378,547697.2045
42,3629157.378,546557.2045
43,3627927.378,542507.2045
44,3627477.378,546467.2045
45,3626997.378,547067.2045
46,3627597.378,539687.2045
47,3623607.378,540557.2045
48,3625317.378,542597.2045
49,3625347.378,544727.2045
50,3628407.378,543197.2045
51,3628557.378,543587.2045
52,3627867.378,538967.2045
53,3626187.378,544127.2045
54,3623187.378,543107.2045
55,3626277.378,547937.2045
56,3625437.378,540047.2045
57,3628197.378,543827.2045
58,3625287.378,547217.2045
59,3629067.378,541487.2045
60,3625677.378,541577.2045
61,3626757.378,539297.2045
62,3625377.378,541577.2045
63,3628917.378,540077.2045
64,3627087.378,541367.2045
65,3625887.378,538727.2045
66,3630327.378,544247.2045
67,3626667.378,541277.2045
68,3626667.378,546737.2045
69,3627717.378,539177.2045
70,3626307.378,545147.2045
71,3625317.378,538337.2045
72,3628107.378,543317.2045
73,3625827.378,541217.2045
74,3625947.378,541427.2045
75,3626697.378,544307.2045
76,3626487.378,548477.2045
77,3625767.378,540647.2045
78,3626127.378,543347.2045
79,3626157.378,538067.2045
80,3630267.378,542477.2045
81,3629127.378,547157.2045
82,3626517.378,547457.2045
83,3625497.378,541727.2045
84,3626847.378,544607.2045
85,3626547.378,537887.2045
86,3625857.378,543707.2045
87,3626577.378,541157.2045
88,3626247.378,542507.2045
89,3626757.378,547907.2045
90,3625407.378,537647.2045
91,3625977.378,546707.2045
92,3625857.378,544217.2045
93,3623937.378,540407.2045
94,3627297.378,542147.2045
95,3626277.378,544127.2045
96,3628977.378,545927.2045
97,3625887.378,541547.2045
98,3625347.378,544967.2045
99,3628617.378,544997.2045
100,3625887.378,540827.2045
101,3627417.378,546947.2045
102,3626007.378,541217.2045
103,3625467.378,539747.2045
104,3627957.378,546467.2045
105,3623757.378,545327.2045
106,3628887.378,545687.2045
107,3626397.378,541337.2045
108,3626007.378,544907.2045
109,3625977.378,543677.2045
110,3627717.378,540287.2045
111,3626607.378,537977.2045
112,3627057.378,543497.2045
113,3630057.378,540677.2045
114,3624477.378,545507.2045
115,3629757.378,543287.2045
116,3625377.378,542447.2045
117,3628287.378,548207.2045
118,3625827.378,541457.2045
119,3626877.378,538007.2045
120,3626277.378,541937.2045
121,3626277.378,547817.2045
122,3627057.378,547517.2045
123,3624627.378,548387.2045
124,3627327.378,544007.2045
125,3625617.378,538217.2045
126,3625377.378,547337.2045
127,3628797.378,548267.2045
128,3626007.378,544277.2045
129,3624867.378,539627.2045
130,3626937.378,538877.2045
131,3625287.378,547367.2045
132,3625497.378,538157.2045
133,3625257.378,544757.2045
134,3626847.378,546227.2045
135,3625617.378,543857.2045
136,3625557.378,545507.2045
137,3627237.378,544337.2045
138,3628647.378,541337.2045
139,3629127.378,545327.2045
140,3625407.378,541007.2045
141,3626757.378,545867.2045
142,3626007.378,547967.2045
143,3627687.378,539777.2045
144,3626157.378,543047.2045
145,3626427.378,545267.2045
146,3626607.378,545447.2045
147,3626097.378,540047.2045
148,3627777.378,547277.2045
149,3629517.378,546647.2045
150,3625707.378,541667.2045
151,3627927.378,543137.2045
152,3625647.378,545837.2045
153,3625287.378,547517.2045
154,3625827.378,543167.2045
155,3626637.378,547367.2045
156,3627987.378,540707.2045
157,3625737.378,543857.2045
158,3626727.378,545027.2045
159,3625767.378,544277.2045
160,3629967.378,541877.2045
161,3627687.378,548477.2045
162,3626307.378,540497.2045
163,3625407.378,540137.2045
164,3629517.378,542357.2045
165,3629637.378,547487.2045
166,3628707.378,545927.2045
167,3625527.378,541607.2045
168,3625347.378,542957.2045
169,3626937.378,540557.2045
170,3627537.378,544757.2045
171,3624357.378,541037.2045
172,3626427.378,547817.2045
173,3629337.378,542117.2045
174,3625647.378,542927.2045
175,3625617.378,544037.2045
176,3627867.378,539567.2045
177,3625977.378,540497.2045
178,3626487.378,539357.2045
179,3625857.378,540587.2045
180,3630987.378,544667.2045
181,3629307.378,543977.2045
182,3626577.378,540947.2045
183,3628917.378,547817.2045
184,3625857.378,538427.2045
185,3629607.378,544967.2045
186,3626277.378,542747.2045
187,3625437.378,546617.2045
188,3625767.378,539717.2045
189,3623427.378,540077.2045
190,3626067.378,541667.2045
191,3625287.378,542567.2045
192,3625797.378,538217.2045
193,3626787.378,539117.2045
194,3627507.378,539267.2045
195,3629787.378,546317.2045
196,3628167.378,548447.2045
197,3626847.378,545057.2045
198,3625797.378,540827.2045
199,3627357.378,541337.2045
200,3625347.378,543797.2045
201,3627507.378,544697.2045
202,3627807.378,544667.2045
203,3627777.378,548507.2045
204,3629157.378,542717.2045
205,3629457.378,546017.2045
206,3628947.378,543647.2045
207,3625827.378,540497.2045
208,3625647.378,546017.2045
209,3629907.378,544637.2045
210,3625317.378,544637.2045
