Trt,Year,Cow Id,Date,Total_dist,Day_dist,NPre_dist,NPost_dist,Avg_speed,Day_avg_speed,NPre_avg_speed,NPost_avg_speed,Total_Siniosity,Day_Siniosity,Pre_Siniosity,Post_Siniosity,All_Wood,Day_Wood,Pre_Wood,Post_Wood,Cum_PPT_in,Act_PPT_in,Temp_c,Wind_Degree,Wind_mph,Lunar
Heavy,2004,84,2/28/2004,5378.3000857350025,3941.807642149107,844.5546661024497,591.9377774834426,3.734930615093752,5.883294988282249,2.05988942951817,1.6442716041206737,0.08278586757254847,0.10985219386615322,0.16363666358265688,0.007217927173262638,88.05970149253731,78.35820895522389,96.72131147540983,100.0,1.78,0,9.6,221,8.4,0.56
Heavy,2004,84,2/29/2004,7319.45083087616,5021.743375725301,950.729674475363,1346.9777806754914,5.082951965886222,7.495139366754181,2.318852864574056,3.7416049463208094,0.11620403373413764,0.14318168577991736,0.06107200275180433,0.12062266547352,82.62411347517731,63.43283582089553,100.0,100.0,1.81,0.03,2.3,262,8.1,0.65
Heavy,2004,84,3/1/2004,8590.366769934462,5994.1332194783645,1005.9920471272028,1590.2415033288928,5.965532479121155,8.502316623373567,2.5794667875056483,4.6093956618228775,0.19869227624715885,0.33211658479147427,0.03260740863139166,0.1654000314656172,59.64912280701754,68.08510638297872,98.66666666666667,0.0,1.82,0.01,0.2,273,14.8,0.74
Heavy,2004,84,3/2/2004,6055.86114418818,4279.571577396734,775.7442583381529,1000.5453084532929,4.205459127908458,6.070314294179765,1.9890878418926998,2.9001313288501245,0.18005275220186714,0.2638431089747509,0.1738495893689893,0.10581262136439082,35.76388888888889,23.404255319148938,1.282051282051282,100.0,1.82,0,2.8,272,11.1,0.82
Heavy,2004,84,3/3/2004,5101.9972675223735,3130.1479550066038,1130.3827820144513,841.4665305013239,3.5430536580016483,4.439926177314332,2.8984173897806444,2.439033421742968,0.14941527726154846,0.17690012514535597,0.14961658729753066,0.16250201140793544,92.65734265734265,95.0354609929078,81.81818181818183,100.0,1.82,0,0.6,44,5.3,0.89
Heavy,2004,84,3/4/2004,9027.147689785268,6989.462760535454,1069.3590074649053,968.3259217849093,6.26885256235088,9.914131575227595,2.7419461729869368,2.8067418022750994,0.02803632790780397,0.04707391941867101,0.04623960106886662,0.05899522178544129,91.95804195804196,84.39716312056737,98.7012987012987,100.0,1.82,0,2.1,68,4.3,0.95
Heavy,2004,84,3/5/2004,7175.0887190645535,4756.821304604923,693.7945243293879,1724.472890130244,4.9827004993503845,6.747264261850955,1.7789603187933023,4.998472145305055,0.12805706178338877,0.24738501601979898,0.11503872254956791,0.1672966257531835,83.77358490566039,79.66101694915254,98.71794871794873,73.91304347826086,1.89,0.07,3,263,11.3,0.98
Heavy,2004,84,3/6/2004,4981.511168790778,3360.5548321167057,1054.8568232388495,566.099513435222,3.459382756104707,4.766744442718731,2.7047610852278194,1.6408681548847013,0.09627556595698027,0.2417302551196664,0.23312893548572738,0.19317303628546972,26.223776223776223,2.127659574468085,94.73684210526315,0.0,1.9,0.01,1.9,276,14.5,1
Heavy,2004,84,3/7/2004,4567.779276397051,2969.6037015791394,706.7000852542652,891.4754895636468,3.1720689419423964,4.212203832027148,1.8120515006519622,2.58398692627144,0.08757352691983153,0.1175696215289939,0.022233606409771553,0.05630618688339594,0.0,0.0,0.0,0.0,1.9,0,6.7,276,13.3,0.99
Heavy,2004,84,3/8/2004,6946.45512381344,5369.167243607169,767.629896277465,809.6579839288015,4.823927169314889,7.615840061854141,1.9682817853268335,2.3468347360255115,0.14398280441283037,0.1855209719622438,0.07347985487700008,0.028035156373674056,0.0,0.0,0.0,0.0,1.9,0,5.1,175,6,0.96
