CowID,date,activity_time_slots_list
10,2/19/2005,[2:20:00 AM~2:55:00 AM][6:35:00 AM~9:00:00 AM][10:35:00 AM~11:25:00 AM][12:30:00 PM~12:45:00 PM][2:10:00 PM~7:05:00 PM][9:45:00 PM~9:50:00 PM]
10,2/20/2005,[3:55:00 AM~4:00:00 AM][6:35:00 AM~11:45:00 AM][2:00:00 PM~6:15:00 PM][10:10:00 PM~11:40:00 PM]
10,2/21/2005,[3:15:00 AM~3:20:00 AM][7:35:00 AM~9:25:00 AM][11:25:00 AM~1:00:00 PM][3:15:00 PM~6:50:00 PM][9:55:00 PM~11:30:00 PM]
10,2/22/2005,[6:40:00 AM~11:05:00 AM][1:35:00 PM~3:30:00 PM][4:40:00 PM~6:30:00 PM][9:50:00 PM~11:20:00 PM]
10,2/23/2005,[1:55:00 AM~2:00:00 AM][6:35:00 AM~9:10:00 AM][11:40:00 AM~8:35:00 PM][9:40:00 PM~9:45:00 PM]
10,2/24/2005,[12:00:00 AM~1:45:00 AM][5:45:00 AM~5:50:00 AM][6:55:00 AM~9:15:00 AM][10:10:00 AM~11:50:00 AM][12:45:00 PM~12:50:00 PM][5:31:00 PM~6:25:00 PM][8:35:00 PM~8:40:00 PM]
10,2/25/2005,[1:40:00 AM~1:45:00 AM][5:40:00 AM~6:50:00 PM][9:40:00 PM~10:15:00 PM]
10,2/26/2005,[2:20:00 AM~2:25:00 AM][3:30:00 AM~3:35:00 AM][6:55:00 AM~12:35:00 PM][2:45:00 PM~4:50:00 PM][5:50:00 PM~6:20:00 PM][10:35:00 PM~11:55:00 PM]
10,2/27/2005,[6:40:00 AM~8:35:00 AM][9:45:00 AM~7:00:00 PM][11:20:00 PM~11:45:00 PM]
10,2/28/2005,[12:05:00 AM~1:10:00 AM][6:40:00 AM~11:15:00 AM][1:15:00 PM~1:55:00 PM][3:25:00 PM~7:40:00 PM][8:55:00 PM~11:55:00 PM]
10,3/1/2005,[12:00:00 AM~1:50:00 AM][6:50:00 AM~10:50:00 AM][12:30:00 PM~2:05:00 PM][3:20:00 PM~4:05:00 PM][5:05:00 PM~6:50:00 PM]
10,3/2/2005,[12:45:00 AM~12:50:00 AM][6:45:00 AM~11:25:00 AM][1:00:00 PM~1:30:00 PM][2:30:00 PM~7:25:00 PM][9:55:00 PM~10:00:00 PM]
10,3/3/2005,[3:35:00 AM~3:50:00 AM][4:55:00 AM~10:35:00 AM][12:25:00 PM~1:40:00 PM][2:35:00 PM~7:10:00 PM][8:35:00 PM~9:05:00 PM]
10,3/4/2005,[6:25:00 AM~2:05:00 PM][3:10:00 PM~6:25:00 PM][11:50:00 PM~11:55:00 PM]
10,3/5/2005,[12:50:00 AM~2:25:00 AM][6:25:00 AM~1:25:00 PM][3:15:00 PM~6:50:00 PM]
